mid;status;title;url
M112214778;ok;File:Georg Bissmark SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112214778
M112214791;ok;File:Georg Bissmark SPA3.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112214791
M112214805;ok;File:Georg Bissmark SPA4.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112214805
M112214843;ok;File:Georg Bissmark SPA5.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112214843
M112214874;ok;File:Georg Bissmark SPA10.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112214874
M112214915;ok;File:Georg Bissmark SPA12.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112214915
M112214947;ok;File:Georg Bissmark SPA13.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112214947
M112214967;ok;File:Georg Bissmark SPA14.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112214967
M112059903;ok;File:Gösta Graffman SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112059903
M112059919;ok;File:Gösta Graffman SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112059919
M112060785;ok;File:Hanna Winge-Tengelin SPA10.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112060785
M112061039;ok;File:Herman Wrangel SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112061039
M112061045;ok;File:Herman Wrangel SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112061045
M112061050;ok;File:Herman Wrangel SPA3.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112061050
M112061057;ok;File:Herman Wrangel SPA4.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112061057
M112061197;ok;File:Hilde Nyblom SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112061197
M112063426;ok;File:Ingrid Curman SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112063426
M112063852;ok;File:Harald Fries SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112063852
M112075762;ok;File:James Dickson SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112075762
M112075765;ok;File:James Dickson SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112075765
M112076774;ok;File:James Dickson SPA12.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112076774
M112086259;ok;File:Ida Borg SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112086259
M112086865;ok;File:Ida Borg SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112086865
M112092457;ok;File:Hulda Nordin SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112092457
M112126565;ok;File:Hampus Mörner SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112126565
M112126599;ok;File:Hampus Mörner SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112126599
M112128619;ok;File:Gösta Bucht SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112128619
M112128634;ok;File:Gösta Bucht SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112128634
M112132532;ok;File:Hampus Scherini SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112132532
M112157434;ok;File:Johan Almer SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112157434
M112157487;ok;File:Johan Almer SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112157487
M112157500;ok;File:Johan Almer SPA3.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112157500
M112157524;ok;File:J S Almer SPA10.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112157524
M112163681;ok;File:Ivan Engnell SPA3 (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112163681
M112174705;ok;File:Gösta Bucht SPA12.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112174705
M112189951;ok;File:Johan Björling SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112189951
M112189960;ok;File:Johan Björling SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112189960
M112197121;ok;File:Henrik Lindgren SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112197121
M112197124;ok;File:Henrik Lindgren SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112197124
M112197331;ok;File:Hans Melin SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112197331
M112197414;ok;File:Hans Melin SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112197414
M112197443;ok;File:Hans Melin SPA3.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112197443
M112200066;ok;File:Janne Ekman SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112200066
M112200176;ok;File:Janne Ekman SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112200176
M112200209;ok;File:Johan Ekman SPA3.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112200209
