item1_label,item1_id,item1_api,item1_image,item2_label,item2_id,item2_api,item2_image,distance
Elise Hwasser,sj9PGLAlnmUAAAAAABKHag,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKHag,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKHag,Elise Hwasser,sj9PGLAlnmUAAAAAAB2c4w,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2c4w,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2c4w,0
Elise Hwasser,sj9PGLAlnmUAAAAAABKHaQ,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKHaQ,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKHaQ,Elise Hwasser,sj9PGLAlnmUAAAAAAB2cjA,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2cjA,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2cjA,0
Elise Hwasser,sj9PGLAlnmUAAAAAABKHaw,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKHaw,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKHaw,Elise Hwasser,sj9PGLAlnmUAAAAAAB2bDw,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2bDw,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2bDw,0
Elise Hwasser,sj9PGLAlnmUAAAAAABKHbA,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKHbA,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKHbA,Elise Hwasser,sj9PGLAlnmUAAAAAAB2aSw,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2aSw,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2aSw,0
Elise Hwasser,sj9PGLAlnmUAAAAAABKHbg,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKHbg,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKHbg,Elise Hwasser,sj9PGLAlnmUAAAAAAB2eNA,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2eNA,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2eNA,0
Elise Hwasser,sj9PGLAlnmUAAAAAABKHbQ,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKHbQ,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKHbQ,Elise Hwasser,sj9PGLAlnmUAAAAAAB2bYA,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2bYA,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2bYA,0
Elise Hwasser,sj9PGLAlnmUAAAAAABKHbw,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKHbw,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKHbw,Elise Hwasser,sj9PGLAlnmUAAAAAAB2dmg,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2dmg,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2dmg,0
Elise Hwasser,sj9PGLAlnmUAAAAAABO37Q,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABO37Q,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABO37Q,Elise Hwasser,j6S8rJvx9lAAAAAAAAC5VA,https://portrattarkiv.se/endpoints/portraits.php?id=j6S8rJvx9lAAAAAAAAC5VA,https://portrattarkiv.se/endpoints/file.php?id=j6S8rJvx9lAAAAAAAAC5VA,0
Gurli Åberg,xnPIH5lXePAAAAAAAAAXrw,https://portrattarkiv.se/endpoints/portraits.php?id=xnPIH5lXePAAAAAAAAAXrw,https://portrattarkiv.se/endpoints/file.php?id=xnPIH5lXePAAAAAAAAAXrw,Gurli Åberg,lzSYNK3ifoMAAAAAAAcJIw,https://portrattarkiv.se/endpoints/portraits.php?id=lzSYNK3ifoMAAAAAAAcJIw,https://portrattarkiv.se/endpoints/file.php?id=lzSYNK3ifoMAAAAAAAcJIw,0
Nils Personne,Dysd0OxEWfAAAAAAAAAtKQ,https://portrattarkiv.se/endpoints/portraits.php?id=Dysd0OxEWfAAAAAAAAAtKQ,https://portrattarkiv.se/endpoints/file.php?id=Dysd0OxEWfAAAAAAAAAtKQ,Nils Personne,Dysd0OxEWfAAAAAAAAAtJw,https://portrattarkiv.se/endpoints/portraits.php?id=Dysd0OxEWfAAAAAAAAAtJw,https://portrattarkiv.se/endpoints/file.php?id=Dysd0OxEWfAAAAAAAAAtJw,0
