qid,label,id,birth,old_url,status,final_url,soft404,slug,changed
Q5588425,Sture Brunnsåker,718,1925-09-06T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/718.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/718.html,True,718.html,False
Q5589660,Søren Bruun Bugge,1005,1798-01-01T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1005.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1005.html,True,1005.html,False
Q5596255,Agne Beijer,616,1888-12-24T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/616.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/616.html,True,616.html,False
Q5712358,Olle Engkvist,1183,1889-05-31T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1183.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1183.html,True,1183.html,False
Q5734921,Stig Fogelmarck,719,1916-11-01T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/719.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/719.html,True,719.html,False
Q5743237,Algot Friberg,1063,1850-09-02T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1063.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1063.html,True,1063.html,False
Q5793312,Peter Christian Hauberg,1316,1844-09-29T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1316.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1316.html,True,1316.html,False
Q5795335,Folke Hedblom,1210,1908-04-26T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1210.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1210.html,True,1210.html,False
Q5807946,Erland Hjärne,607,1887-07-13T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/607.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/607.html,True,607.html,False
Q5810757,Axel Emanuel Holmberg,1012,1817-04-24T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1012.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1012.html,True,1012.html,False
Q5810930,John Holmberg,611,1886-10-18T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/611.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/611.html,True,611.html,False
Q5828652,E. Alfred Jansson,1166,1878-11-11T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1166.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1166.html,True,1166.html,False
Q5992195,Arthur Montgomery,642,1889-09-02T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/642.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/642.html,True,642.html,False
Q6014469,Arthur Nordén,1143,1891-12-22T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1143.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1143.html,True,1143.html,False
Q6168262,Kurt von Schmalensee,1186,1896-09-05T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1186.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1186.html,True,1186.html,False
Q6187568,Ludvig Stavenow,514,1864-10-12T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/514.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/514.html,True,514.html,False
Q6194026,Carl Gustaf Styffe,473,1817-03-28T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/473.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/473.html,True,473.html,False
