,WikidataID,authorid,full_name,wd_hos_Litteraturbanken,authorid_norm,show,updated,imported,librisid,WD_Litteraturbanken
4292,,EhrenströmA,Anna Ehrenström,,EhrenstromA,True,2023-11-27,2023-11-27,,Litterturbanken_only
4291,,HögstedtJEA,Johan Emil Algot Högstedt,,HogstedtJEA,True,2023-11-27,2023-11-27,,Litterturbanken_only
4290,,RhodinL,Lars Rhodin,,RhodinL,True,2023-11-27,2023-11-27,,Litterturbanken_only
4316,,HaverfieldEL,E. L. Haverfield,,HaverfieldEL,True,2023-11-27,2023-10-30,,Litterturbanken_only
4320,,ClémentB,Bertha Clément,,ClementB,True,2023-11-27,2023-10-30,,Litterturbanken_only
4322,,DumanoirPF,Philippe François Dumanoir,,DumanoirPF,True,2023-11-27,2023-10-30,,Litterturbanken_only
4324,,ThorsénA,Alfred Thorsén,,ThorsenA,True,2023-11-27,2023-09-25,,Litterturbanken_only
4362,,ElfvingL,Lars Elfving,,ElfvingL,True,2023-11-27,2023-06-26,,Litterturbanken_only
4360,,NehrmanJ,John Nehrman,,NehrmanJ,True,2023-11-27,2023-06-26,,Litterturbanken_only
4359,,ÖrvallI,Ida Örvall,,OrvallI,True,2023-11-27,2023-06-26,,Litterturbanken_only
4358,,IndebetouJG,Johan Govert Indebetou,,IndebetouJG,True,2023-11-27,2023-06-26,,Litterturbanken_only
4355,,SeelhorstB,Bertha Seelhorst,,SeelhorstB,True,2023-11-27,2023-06-26,,Litterturbanken_only
4354,,AndersonAugust,August Anderson,,AndersonAugust,True,2023-11-27,2023-06-26,,Litterturbanken_only
4353,,FjetterströmR,Rudolf Fjetterström,,FjetterstromR,True,2023-11-27,2023-08-28,,Litterturbanken_only
4352,,EllminJ,Johannes Ellmin,,EllminJ,True,2023-11-27,2023-08-28,,Litterturbanken_only
4351,,LångströmE,Erland Långström,,LangstromE,True,2023-11-27,2023-08-28,,Litterturbanken_only
4350,,GylanderEK,Ebba Karolina Gylander,,GylanderEK,True,2023-11-27,2023-08-28,,Litterturbanken_only
4349,,GyntherOF,Otto Fredrik Gynther,,GyntherOF,True,2023-11-27,2023-08-28,,Litterturbanken_only
4347,,FransénJ,Johan Fransén,,FransenJ,True,2023-11-27,2023-08-28,bmlmb2pf80lw6b3h,Litterturbanken_only
4346,,HöggrenF,Fanchette Höggren,,HoggrenF,True,2023-11-27,2023-08-28,,Litterturbanken_only
4345,,SellinPG,Per Gustaf Sellin,,SellinPG,True,2023-11-27,2023-08-28,,Litterturbanken_only
4344,,JohanssonAnders,Anders Johansson,,JohanssonAnders,True,2023-11-27,2023-08-28,,Litterturbanken_only
4343,,LallerstedtA,Anders Lallerstedt,,LallerstedtA,True,2023-11-27,2023-08-28,,Litterturbanken_only
4337,,HovingIW,Isac Wilhelm Hoving,,HovingIW,True,2023-11-27,2023-08-28,,Litterturbanken_only
4336,,PerssonJ,Jöns Persson,,PerssonJ,True,2023-11-27,2023-08-28,,Litterturbanken_only
4335,,WesselFougstedtE,Erik Wessel-Fougstedt,,WesselFougstedtE,True,2023-11-27,2023-08-28,,Litterturbanken_only
4334,,SchmiterlöwAB,Adam Bonaparte Schmiterlöw,,SchmiterlowAB,True,2023-11-27,2023-08-28,,Litterturbanken_only
4333,,SchultzAFJ,Adolf Fredrik Joelsson Schultz,,SchultzAFJ,True,2023-11-27,2023-08-28,,Litterturbanken_only
4327,,HolmbergHulda,Hulda Holmberg,,HolmbergHulda,True,2023-11-27,2023-09-25,,Litterturbanken_only
4326,,ÅbergG,Gunnar Åberg,,AbergG,True,2023-11-27,2023-09-25,,Litterturbanken_only
4325,,PiraNE,Nils Erik Pira,,PiraNE,True,2023-11-27,2023-09-25,,Litterturbanken_only
4364,,LinckUJ,Ulrika Jakobina Linck,,LinckUJ,True,2023-11-27,2023-06-01,,Litterturbanken_only
4363,,BergstenE,Erik Bergsten,,BergstenE,True,2023-11-27,2023-06-01,,Litterturbanken_only
4365,,EkevallAF,Anders Fredrik Ekevall,,EkevallAF,True,2023-11-27,2023-06-01,,Litterturbanken_only
4526,,BergerL,Lars Berger,,BergerL,True,2023-11-27,2021-05-03,,Litterturbanken_only
4621,,IdmanCJ,Carl Johan Idman,,IdmanCJ,True,2023-11-27,2021-03-01,,Litterturbanken_only
