source_spa_id,target_spa_id
mLh5P0pzYFAAAAAAAAA4UA,seuNpYu6DKAAAAAAAABlPg
seuNpYu6DKAAAAAAAABlPg,mLh5P0pzYFAAAAAAAAA4UQ
mLh5P0pzYFAAAAAAAAA4UQ,seuNpYu6DKAAAAAAAABlPg
seuNpYu6DKAAAAAAAABlPg,NhqpvvI9tpAAAAAAAAAA-g
NhqpvvI9tpAAAAAAAAAA-g,seuNpYu6DKAAAAAAAABlPg
seuNpYu6DKAAAAAAAABlPg,NhqpvvI9tpAAAAAAAAAA5A
NhqpvvI9tpAAAAAAAAAA5A,seuNpYu6DKAAAAAAAABlPg
seuNpYu6DKAAAAAAAABlPg,NhqpvvI9tpAAAAAAAAAA5Q
NhqpvvI9tpAAAAAAAAAA5Q,seuNpYu6DKAAAAAAAABlPg
seuNpYu6DKAAAAAAAABlPg,NhqpvvI9tpAAAAAAAAAA5w
NhqpvvI9tpAAAAAAAAAA5w,seuNpYu6DKAAAAAAAABlPg
seuNpYu6DKAAAAAAAABlPg,NhqpvvI9tpAAAAAAAAAA6A
NhqpvvI9tpAAAAAAAAAA6A,seuNpYu6DKAAAAAAAABlPg
seuNpYu6DKAAAAAAAABlPg,NhqpvvI9tpAAAAAAAAAA6Q
NhqpvvI9tpAAAAAAAAAA6Q,seuNpYu6DKAAAAAAAABlPg
seuNpYu6DKAAAAAAAABlPg,NhqpvvI9tpAAAAAAAAArQA
NhqpvvI9tpAAAAAAAAArQA,seuNpYu6DKAAAAAAAABlPg
seuNpYu6DKAAAAAAAABlPg,NhqpvvI9tpAAAAAAAAAtHg
NhqpvvI9tpAAAAAAAAAtHg,seuNpYu6DKAAAAAAAABlPg
seuNpYu6DKAAAAAAAABlPg,NhqpvvI9tpAAAAAAAAAv6w
NhqpvvI9tpAAAAAAAAAv6w,seuNpYu6DKAAAAAAAABlPg
seuNpYu6DKAAAAAAAABlPg,NhqpvvI9tpAAAAAAAAAv9A
NhqpvvI9tpAAAAAAAAAv9A,seuNpYu6DKAAAAAAAABlPg
seuNpYu6DKAAAAAAAABlPg,sj9PGLAlnmUAAAAAABfOnw
sj9PGLAlnmUAAAAAABfOnw,seuNpYu6DKAAAAAAAABlPg
