,authorid,WikidataID,librisid,WD_LIBRISXL
809,RudeenT,Q6082642,,khwz0kv30ssnp4d
810,RudeenT,Q6082642,,khwz0kv30ssnp4d
812,RålambC,Q5125016,,97mprcht2xb3g2v
817,SandbergAHM,Q4958864,,gr876s24d85md1bb
825,SchiefauerJ,Q4977374,,1zcglfwk5jg7016
827,SchjerfbeckH,Q236985,,0xbdf6nj3lb16ql
829,SchlegelAW,Q57281,,86lpxk7s2bl20hf
830,SchlegelAW,Q57281,,86lpxk7s2bl20hf
831,SchmidC,Q68202,,hftx14w1514s7mx
832,SchotteA,Q6169057,,zw9cfsgh2xng1rc
833,SchreinerO,Q151180,,b8nqm6cv4b5gkw7
836,SchwabE,Q6169926,,wt79c9lf145h6nw
842,SethM,Q100321851,,tr58d44c2z65mbg
846,SilfverstolpeGM,Q1554766,,53hkl1jp42kdblq
851,SjöstedtNÅ,Q114137949,,1cl2kl7xzn87d864
866,SparreS,Q3365811,,31fjm6tm2f6h2q8
868,SpensJ,Q100414132,,wt7bf0rf1h6x79b
869,SpensKG,Q6185468,,qn258tl84r3jl29
872,StaaffK,Q53292,,sq468p6b1mx8cxp
875,StaëlvonHolsteinAL,Q31872554,,dbqtxhdx3wzkq7x
880,Stenberg-MasolleA,Q4966227,,khwz0gk33lkm6f4
882,Stendhal,Q502,,75kmn44r4v68j6q
886,SternerM,Q16510719,,dbqswpwx0lslh7c
888,StjerneldAL,Q4684135,,53hlp13p41hlkd7
889,StobæusK,Q6190801,,0xbflxfj3ss3ktl
890,StokerB,Q36184,,0xbdf5dj4skn26b
891,StoweHB,Q102513,,pm134lr726sbrgt
894,StridsbergC,Q19976100,,c9pswskw56w7kd2
895,StrindbergO,Q108369712,,bnl302lq86m043hg
896,StrindbergZ,Q108369914,,zw9dh4qh12gqxxv
897,StrömbergJBLD,Q6193244,,rp356zk91h2w893
899,StyffeCG,Q6194026,,rp36b9691ctsdsc
900,StåhleCI,Q2487226,,dbqsv5mx2hxvqmw
901,StålhaneA,Q47127123,,1zcgk6bk5v9n5h7
902,StålmarckT,Q64220930,,rp356sx9596cqfz
903,SundbergB,Q63138033,,khwz0p933t8jq8h
