,0,1
708,M112375824,Q16650200
709,M112375830,Q16650200
710,M112375840,Q16650200
711,M112375846,Q16650200
712,M112379102,Q6190730
713,M112379168,Q6190730
714,M112393402,Q5720504
715,M112393459,Q5720504
716,M112407655,Q38234336
717,M112407659,Q38234336
718,M112408058,Q38234336
719,M112412905,Q55330994
720,M112412935,Q55330994
721,M112412955,Q55330994
722,M112451934,Q5569773
723,M112451942,Q5569773
724,M112451952,Q5569773
725,M112451957,Q5569773
726,M112452367,Q18238784
727,M112479979,Q16946303
728,M112479988,Q16946303
729,M112510751,Q4980247
730,M112514781,Q5542913
731,M112514790,Q5542913
732,M112514795,Q5542913
733,M112514814,Q5542913
734,M112514833,Q5542913
735,M112518183,Q5776316
736,M112518192,Q5776316
737,M112518256,Q106575028
738,M112518276,Q106575028
739,M112518702,Q19976999
740,M112595926,Q6209669
741,M112595939,Q6209669
742,M112595947,Q6209669
743,M112595961,Q6209669
744,M112595970,Q6209669
745,M112595980,Q6209669
746,M112596015,Q6209669
747,M112759717,Q19976184
748,M112759755,Q19976184
749,M112798909,Q93220832
750,M112318586,Q18238508
751,M112318774,Q18238508
752,M112362520,Q6069285
753,M112362523,Q6069285
754,M112362528,Q6069285
755,M112363331,Q6069285
756,M112380474,Q5794579
757,M112381265,Q19803698
758,M112381266,Q19803698
759,M112401001,Q58837110
760,M112406799,Q5615800
761,M112407490,Q19977165
762,M112407535,Q19977165
763,M112407538,Q19977165
764,M112442490,Q96095380
765,M112445412,Q5560057
766,M112445526,Q63826684
767,M112445542,Q63826684
768,M112445550,Q63826684
769,M112445559,Q63826684
770,M112452352,Q18238784
771,M112452359,Q18238784
772,M112466983,Q1554797
773,M112467085,Q23988525
774,M112467111,Q23988525
775,M112490982,Q109554313
776,M112491012,Q109554313
777,M112491688,Q5627416
778,M112491692,Q5627416
779,M112491700,Q5627416
780,M112491705,Q5627416
781,M112518199,Q5776316
782,M112548217,Q6085615
783,M112627400,Q931295
784,M112627410,Q931295
785,M112627416,Q931295
786,M112627420,Q931295
787,M112627439,Q931295
788,M112646557,Q1555433
789,M112646564,Q1555433
790,M112646571,Q1555433
791,M112646579,Q1555433
792,M112646596,Q1555433
793,M112646605,Q1555433
794,M112646616,Q1555433
795,M112646640,Q1555433
796,M112651185,Q5574694
797,M112651195,Q5574694
798,M112651198,Q5574694
799,M112652080,Q5574697
800,M111789734,Q7209356
801,M112345910,Q5724619
802,M112345941,Q5724619
803,M112372363,Q64412817
804,M112397513,Q109422976
805,M112397519,Q109422976
806,M112397752,Q109422976
807,M112397762,Q109422976
